BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.722218249587630999e+04	-1.622433333333333394e+01	1.210946156409876129e-01	-4.971866666666666212e+00	7.505553499465134710e-04	1.643883333333333308e-01	1.277888884058390919e-04	-8.792403228881282473e+01	2.421892312819752258e-01	7.784166333333333569e+03	2.421892312819752258e-01	6.006357399999999558e+01	1.891032239277719990e-03
5.722391687116972753e+04	-1.605900000000000105e+01	1.144770759184670639e-01	-4.977199999999999847e+00	6.928203230275508046e-04	1.634793333333333376e-01	1.177803982936983569e-04	-8.667451196514686274e+01	2.289541518369341555e-01	7.783850666666666257e+03	2.289541518369341555e-01	6.006310933333332969e+01	1.787818702423235942e-03
5.723295181496451551e+04	-1.503499999999999837e+01	1.140318969693467771e-01	-4.966400000000000148e+00	6.928203230275508046e-04	1.653316666666666546e-01	1.177794549146836530e-04	-8.859408612021333340e+01	2.280637939386934987e-01	7.787350999999999658e+03	2.280637939386934987e-01	6.003763866666665905e+01	1.779650641940675555e-03
5.723413024166393006e+04	-1.378533333333333211e+01	1.128962269823025472e-01	-4.963966666666666860e+00	6.928203230275508046e-04	1.657549999999999857e-01	1.164326223854618658e-04	-8.896793228870858172e+01	2.257924539646047057e-01	7.785121999999999389e+03	2.257924539646047057e-01	6.003192599999999857e+01	1.762321641185977646e-03
5.723496810407444718e+04	-1.536800000000000033e+01	1.135403416482501787e-01	-4.962133333333333951e+00	6.928203230275508046e-04	1.660736666666666750e-01	1.170099710850888778e-04	-8.791899980019694283e+01	2.270806832965007460e-01	7.787778666666666140e+03	2.270806832965007460e-01	6.001370433333332954e+01	1.771252763944647412e-03
5.723608891514118295e+04	-1.327833333333333421e+01	1.117335735146717801e-01	-4.962766666666666993e+00	6.350852961085883550e-04	1.659633333333333238e-01	1.148927035687355224e-04	-8.727794858385550469e+01	2.234671470293437545e-01	7.787446000000000822e+03	2.234671470293437545e-01	6.000683900000000648e+01	1.742986947961707367e-03
5.723785161063043779e+04	-1.431333333333333258e+01	1.257453510480895653e-01	-4.967633333333332679e+00	7.895146188218008258e-04	1.651186666666666636e-01	1.349127289933920446e-04	-8.721717330202996266e+01	2.514907020961793527e-01	7.787510999999999513e+03	2.514907020961793527e-01	6.003789633333334308e+01	1.962638449529109739e-03
5.723907750609017239e+04	-1.421433333333333415e+01	1.132481641261106065e-01	-4.964033333333333964e+00	6.928203230275508046e-04	1.657440000000000024e-01	1.172021046454940323e-04	-8.686471344388421301e+01	2.264963282522208521e-01	7.785362333333333481e+03	2.264963282522208521e-01	6.003115433333332618e+01	1.767930443039267404e-03
5.723992076011531753e+04	-1.575533333333333452e+01	1.171119484872257116e-01	-4.963466666666666249e+00	6.928203230275508046e-04	1.658373333333333088e-01	1.223991648482764731e-04	-8.711432127572582829e+01	2.342238969744510346e-01	7.786649333333333743e+03	2.342238969744510346e-01	6.004985366666667090e+01	1.828541165568323308e-03
5.724196113980243535e+04	-1.528433333333333444e+01	1.186940062933511814e-01	-4.966233333333333277e+00	6.928203230275508046e-04	1.653576666666666528e-01	1.237457069962429100e-04	-8.790825411516929933e+01	2.373880125867025292e-01	7.790340666666666039e+03	2.373880125867025292e-01	6.005837199999999854e+01	1.852686708941892911e-03
